"都道府県名","市区町村名","大字・丁目名","小字・通称名","街区符号・地番","座標系番号","Ｘ座標","Ｙ座標","緯度","経度","住居表示フラグ","代表フラグ","更新前履歴フラグ","更新後履歴フラグ"
"東京都","文京区","関口一丁目","","11","9","-32337.0","-9095.0","35.708490","139.732820","1","1","0","0"
"東京都","文京区","関口一丁目","","9","9","-32306.3","-9110.5","35.708766","139.732648","1","0","0","0"
"東京都","文京区","大塚四丁目","","26","9","-30636.5","-9075.8","35.723818","139.733013","1","1","0","0"
"東京都","文京区","関口一丁目","","13","9","-32304.9","-9048.2","35.708780","139.733337","1","1","0","0"
"東京都","文京区","大塚四丁目","","29","9","-30668.0","-9059.2","35.723534","139.733197","1","1","0","0"
"東京都","文京区","大塚四丁目","","23","9","-30581.5","-9059.3","35.724314","139.733195","1","1","0","0"
"東京都","文京区","関口一丁目","","12","9","-32354.0","-9063.1","35.708337","139.733172","1","1","0","0"
"東京都","文京区","関口一丁目","","12","9","-32324.0","-9060.4","35.708607","139.733202","1","0","0","0"
"東京都","文京区","大塚三丁目","","11","9","-30900.0","-9025.5","35.721443","139.733572","1","1","0","0"
"東京都","文京区","大塚四丁目","","30","9","-30698.0","-9042.4","35.723264","139.733383","1","1","0","0"
"東京都","文京区","関口一丁目","","20","9","-32245.3","-9031.1","35.709317","139.733525","1","1","0","0"
"東京都","文京区","大塚三丁目","","12","9","-30943.4","-9043.3","35.721052","139.733375","1","1","0","0"
"東京都","文京区","小日向二丁目","","9","9","-31737.8","-9026.4","35.713891","139.733571","1","1","0","0"
"東京都","文京区","小日向二丁目","","8","9","-31655.7","-9027.9","35.714631","139.733554","1","1","0","0"
"東京都","文京区","小日向二丁目","","10","9","-31846.2","-8996.9","35.712915","139.733898","1","1","0","0"
"東京都","文京区","大塚三丁目","","7","9","-31035.7","-9021.5","35.720220","139.733618","1","1","0","0"
"東京都","文京区","水道二丁目","","10","9","-32098.2","-9044.8","35.710643","139.733372","1","0","0","0"
"東京都","文京区","関口一丁目","","2","9","-32396.7","-9049.2","35.707952","139.733327","1","1","0","0"
"東京都","文京区","大塚四丁目","","27","9","-30610.8","-9026.0","35.724050","139.733563","1","1","0","0"
"東京都","文京区","大塚四丁目","","22","9","-30569.0","-9024.0","35.724427","139.733585","1","1","0","0"
"東京都","文京区","大塚四丁目","","33","9","-30727.0","-9026.1","35.723002","139.733563","1","1","0","0"
